Id,P,Y,R,PT,S,YB,Sch,C,L
155,821700,2009,4,0,2231,1987,1,2,5788
156,375500,2008,2,1,1376,1929,1,3,8940
157,522700,2005,3,0,1185,1931,1,4,8563
158,455600,2010,2,0,1592,1938,1,2,7209
159,1060900,2018,3,0,2435,1943,1,1,6125
160,695900,2009,3,1,2146,1963,0,2,9391
161,773900,2004,4,0,1892,1960,1,1,8616
162,684700,2004,2,0,1946,1966,2,4,8475
163,946000,2015,4,0,2191,1930,1,3,5758
164,408700,2011,2,1,1386,1961,0,4,5225
165,674900,2018,4,1,1338,1973,1,3,5495
166,582800,2000,3,0,1551,1982,2,4,9920
167,751300,2005,4,0,1690,1939,1,2,9685
168,563200,2008,3,0,1745,1982,1,2,7772
169,666300,2004,2,1,1945,1981,2,4,6333
170,495200,2008,3,0,1509,1980,1,2,5823
171,768800,2011,3,0,2061,1980,2,2,8043
172,985100,2017,3,1,2298,1985,1,2,6535
173,859600,2013,3,0,2340,1937,1,3,8681
174,492400,2010,3,0,1152,1955,2,2,5458
175,1038800,2006,4,0,2263,1942,1,3,8476
176,840600,2016,4,0,1883,1972,1,3,6741
177,1051600,2003,3,0,2483,1958,2,1,7785
178,471500,2010,2,0,1510,1932,2,2,5145
179,656100,2002,4,0,1662,1974,0,2,6528
180,1382000,2009,4,0,3310,1966,0,2,9598
181,760100,2012,2,0,2589,1973,1,2,7463
182,586700,2018,2,0,1593,1975,1,3,9173
183,571200,2007,3,1,1313,1939,0,2,7488
184,483900,2011,2,0,1725,1940,1,4,7773
185,1066700,2007,2,0,2912,1954,1,2,5446
186,987100,2016,3,0,2465,1947,0,3,6362
187,933700,2014,4,0,2251,1988,1,2,8894
188,659700,2002,4,1,1626,1974,0,2,7449
189,822000,2017,4,0,1782,1968,0,2,5937
190,1229300,2017,4,0,2583,1968,0,4,8388
191,554800,2012,2,1,1672,1942,2,2,5746
192,517400,2007,2,0,1506,1930,1,2,5400
193,1201300,2004,4,0,2502,1929,2,2,8574
194,1302600,2013,4,0,2934,1985,1,3,5545
195,530900,2013,4,0,1196,1981,0,2,5041
196,1139400,2000,3,0,3031,1974,0,4,5087
197,1313600,2007,4,0,2706,1986,0,1,9135
198,913700,2013,4,0,2032,1965,2,4,5796
199,629600,2014,4,1,1378,1959,1,1,5972
200,843900,2017,2,0,2241,1966,2,2,9048
201,506000,2002,4,1,1129,1930,1,2,7831
202,536500,2001,2,0,1702,1942,2,3,8713
203,696100,2012,2,1,2417,1974,0,4,7058
204,1095400,2012,2,0,3195,1980,1,2,8853
205,556600,2016,2,1,1621,1932,0,3,5336
206,1600900,2013,4,0,3266,1955,1,2,7001
207,1036800,2006,3,0,2293,1938,2,1,9431
208,938100,2008,3,0,2794,1982,0,3,5986
209,951300,2007,4,0,2076,1968,1,3,9091
210,989200,2017,4,0,2135,1932,1,3,8799
211,1581300,2007,4,0,3107,1972,1,4,9712
212,986400,2001,3,0,2761,1929,1,4,8153
213,551300,2007,3,0,1198,1951,0,3,5998
214,989500,2009,2,0,3248,1940,1,1,6149
215,542100,2015,3,0,1273,1954,1,4,8460
216,1859000,2007,4,0,3376,1949,0,3,6045
217,875900,2010,2,0,2916,1962,1,2,6620
218,693300,2017,2,0,2031,1933,1,2,9465
219,682000,2017,2,1,1966,1980,1,2,9913
220,987000,2004,4,0,2323,1980,1,2,5429
221,928200,2004,2,0,2918,1975,0,2,6726
222,835800,2003,3,0,2218,1987,1,4,5128
223,1360200,2007,4,1,2742,1951,0,3,5943
224,1230100,2008,4,0,3154,1972,0,3,7729
225,1080200,2011,3,0,2688,1950,2,4,8420
226,460900,2015,2,0,1203,1966,2,4,9036
227,1074900,2012,4,0,2602,1949,1,2,6074
228,1452100,2015,3,0,3023,1970,2,2,9108
229,689500,2003,3,0,1914,1965,0,2,5020
230,1050500,2002,4,0,2535,1983,1,3,5656
231,813300,2016,3,0,1944,1940,1,2,7724
232,498400,2001,2,1,1571,1968,2,2,7676
233,885800,2017,3,0,1886,1939,2,4,8646
234,655100,2016,2,0,1981,1986,0,2,9302
235,1209800,2010,3,0,2956,1987,2,3,8360
236,838600,2002,2,0,2704,1985,1,2,5931
237,568500,2012,2,0,1982,1933,1,3,7373
238,1319900,2018,3,0,2936,1983,0,2,9691
239,701000,2008,2,0,2625,1959,0,2,7824
240,1136700,2004,4,0,2597,1975,0,3,5435
241,1142100,2001,3,0,2964,1932,1,4,6870
242,905300,2015,2,0,2670,1929,1,2,6682
243,1495100,2017,4,1,2984,1948,0,3,6788
244,616500,2018,4,0,1239,1961,1,4,8754
245,1069100,2000,4,0,2654,1955,1,4,6054
246,871000,2013,3,0,2136,1954,0,2,10266
247,822900,2008,3,0,2466,1952,0,2,7908
248,706000,2015,4,0,1633,1981,1,4,6656
249,509500,2006,2,0,1259,1961,0,2,10003
250,883400,2005,2,0,2309,1965,1,4,10372
251,926600,2015,4,1,2174,1974,1,4,7856
252,422100,2014,2,1,1231,1928,1,2,5916
253,1670800,2009,4,0,3336,1983,0,4,10494
254,416000,2008,2,0,1588,1948,0,4,9037
255,638900,2009,4,0,1503,1952,1,1,11295
256,1148700,2014,2,1,2888,1960,1,2,11893
257,1161400,2008,4,0,2759,1944,0,4,11025
258,1034900,2008,3,0,2914,1938,0,3,7660
259,717100,2007,2,0,2082,1984,0,3,9725
260,1299500,2016,2,0,3330,1955,1,2,6512
261,1438500,2011,4,1,3301,1986,1,3,7053
262,839600,2010,2,1,2823,1952,0,1,7243
263,625400,2000,2,0,2043,1982,2,2,6653
264,1343600,2009,3,0,2913,1933,2,1,10059
265,1069700,2013,3,0,2769,1977,1,3,8233
266,931400,2017,2,0,2294,1979,0,2,10718
267,600500,2004,3,0,1424,1937,2,2,7911
268,1143900,2009,2,0,3274,1942,1,2,10085
269,562600,2008,2,1,2155,1977,0,4,7216
270,928500,2003,4,1,2236,1942,1,2,7043
271,1007600,2018,4,0,2066,1948,1,3,8108
272,994700,2011,4,1,2150,1981,1,2,11946
273,801200,2001,3,0,2325,1965,1,4,7860
274,833400,2017,3,0,2024,1977,0,3,6440
275,701700,2015,2,0,2240,1976,0,3,9342
